SIN,previousSIN
541519ICAM,132 60F
541519ICAM,132 60E
541519ICAM,132 60D
541519ICAM,132 60C
541519ICAM,132 60B
541519ICAM,132 60A
541519PIV,132 62
541519PKI,132 61
561422,132 20
611420,132 50
517312,132 53
517410,132 54
517410,132 55
339999ASB,402 5
339999F,402 7
339999F,366 23
339999F,366 22
339992,192 41
335210,852 2
3152,633 70
3152,633 61
3152,633 60
3152,633 6
3152,633 51
3152,633 50
3152,633 49
3152,633 48
3152,633 47
3152,633 4
3152,633 27
3152,633 26
3152,633 23
3152,633 22
3152,633 21A
3152,633 15
3152,633 1
315210,852 4
316210,633 52
316210,633 25
316210,633 19
316210,633 18
316210,633 16
339113PA,633 99
339113PA,633 6A
339113PA,633 45
339113PA,633 43
339113PA,633 40
339113PA,633 39
339113PA,633 38
339113PA,633 37
339113PA,633 35
339113PA,633 33
339113PA,633 32
339113PA,633 30A
339113PA,633 30
339113PA,633 1000
339113PA,426 1C
339113PA,426 1B
ANCILLARY,426 1000
ANCILLARY,302 98
ANCILLARY,412 50
ANCILLARY,871 100
ANCILLARY,003 100
ANCILLARY,100 03
ANCILLARY,58 7
ANCILLARY,051 400
ANCILLARY,271 114
ANCILLARY,271 113
ANCILLARY,599 1000
ANCILLARY,366 90
ANCILLARY,722 08
ANCILLARY,31 604
ANCILLARY,132 100
ANCILLARY,66 1002
ANCILLARY,357 98
ANCILLARY,51 1000
ANCRA,712 97
ANCRA,003 97
ANCRA,874 597
ANCRA,361 97
ANCRA,357 97
ANCRA,563 97
ANCRA,253 90
NEW,617 8
NEW,712 99
NEW,871 299
NEW,541 099
NEW,899 99
NEW,874 99
NEW,520 99
NEW,382 99
NEW,100 01
NEW,58 99
NEW,051 99
NEW,599 99
NEW,426 99
NEW,246 99
NEW,402 99
NEW,366 99
NEW,192 99A
NEW,192 99
NEW,722 99
NEW,31 999
NEW,711 99
NEW,71 399
NEW,71 299
NEW,489 99
NEW,132 99
NEW,67 99
NEW,627 1007
NEW,357 99
NEW,253 99
NEW,51 1001
OLM,03FAC 500
OLM,00CORP 500
OLM,738X 500
OLM,84 500
OLM,71 500
OLM,70 500
OLM,56 500
OLM,36 500
OLM,58 500
OLM,78 500
OLM,71 II K 500
OLM,72 500
238910,361 32
238910,412 51
238910,246 51
238910,361 28
238910,361 27
541611,874 7
541611,874 6
541611,874 1
541611,520 3
541611,520 22
541611,520 21
541611,595 11
541611,520 13
561450,520 16
541620,899 1
562112,899 5
562910REM,899 8
522310,520 5
522310,520 1
531210,520 2
541211,520 9
541211,520 8
541211,520 7
541211,520 10
541214,520 15
541219,520 12
541219,520 11
561440,520 4
541990IPS,520 20
541990RISK,520 17
541930,382 5
541930,382 4
541930,382 2
541930,382 1
541930,51 001
611630,382 3
541110,520 6
541614,874 504
541614,874 503
541614SVC,874 501
541614SVC,411 3
323111SBSA,19 100
512110,541 4B
541430,541 4F
541511,541 3
541613,541 5
541613,541 4G
541810,541 1
541810ODC,541 1000
541820,541 2
541850,541 4C
541910,541 4A
541922,541 4E
561920,541 4D
541330ENG,871 7
541330ENG,871 6
541330ENG,871 2
541330ENG,871 1
541330ENG,871 5
541330ENG,871 3
541330ENG,871 4
541370GIS,899 7
541420,871 3
541690,871 211
541715,871 1
541715,871 2
541715,871 3
541715,871 4
333318TDTM,874 9
611TRAINAW,874 8
611430,899 3
611430,874 505
611430,520 14
611430,874 4
611512,874 4
611710,51 503
333999,66 136
333314,603 9
333314,603 8
333314,603 13
333314,603 10
333415,66 137
334513,66 607
334513,66 606
334513,66 604
334513,66 603
334513,66 602
334513,66 601
334515,627 9
334515,627 8
334515,627 7
334515,627 6
334515,627 5001
334515,627 50
334515,627 5
334515,627 35
334515,627 33
334515,627 32
334515,627 31
334515,627 30
334515,627 3
334515,627 29
334515,627 27
334515,627 25
334515,627 23
334515,627 22
334515,627 2003
334515,627 2002
334515,627 2001
334515,627 2000
334515,627 2
334515,627 18
334515,627 17
334515,627 15
334515,627 14
334515,627 13
334515,627 12
334515,627 11
334515,627 10
334515,627 1
334515,602 9
334515,602 8
334515,602 7
334515,602 6
334515,602 5
334515,602 40
334515,602 35
334515,602 32
334515,602 31
334515,602 30
334515,602 3
334515,602 26
334515,602 24
334515,602 23
334515,602 22
334515,602 21
334515,602 2
334515,602 18
334515,602 17
334515,602 14
334515,602 10
334515,602 1
334515,253 19
334516,426 4M
334516,426 4D
334516,66 200
334516,66 122
334516,66 118
334516,66 117
334516,66 113
334516,66 107
334516,66 102
334516,66 100
334516,632 9
334516,632 7
334516,632 6
334516,632 5
334516,632 2
334516,632 10
334516,615 9
334516,615 4
334516,615 3
334516,615 2
334516,615 19
334516,615 18
334516,615 1
334516,603 2
334516,603 1
334519ENV,66 622
334519ENV,66 621
334519ENV,66 620
334519ENV,66 619
334519ENV,66 618
334519ENV,66 617
334519ENV,66 616
334519ENV,66 615
334519ENV,66 612
334519ENV,66 611
334519ENV,66 610
334519ENV,66 609
334519ENV,66 608
339113LAB,66 148
339113LAB,66 147
339113LAB,66 141
339113LAB,66 139
339113LAB,603 7
339113LAB,603 5
339113LAB,603 4
339113LAB,603 3
339113LAB,540 7
339113LAB,540 3
339113LAB,540 21
339113LAB,540 2
339113LAB,540 19
339113LAB,540 16
339113LAB,540 12
339113LAB,540 11
532490L,66 508
532490L,66 503
532490L,66 502
532490L,66 501
532490L,615 5000
339112,465 22
339113R,465 9
339113R,465 10
532490ESA,627 2004
541990TAD,627 2006
611430TTS,66 507
611430TTS,627 2005
334511,465 17
334511,426 4Q
334511,260 10
334511,66 614
334511,66 613
334511,602 43
334511,602 42
334511,602 41
541380,871 4
541380,873 4
541380,873 3
541380,873 2
541380,873 1
541380,66 1000
561621H,260 14
3FIRE,465 11
332216,567 99
332216,465 19
332216,465 1000
332216,426 1G
332312F,465 8
332994,567 8
332999,426 1D
332999,426 1A
332999S,489 103
332999S,489 154
332999S,489 157
332999S,489 158
332999S,489 159
332999S,489 160
332999S,489 161
332999S,489 166
332999S,489 167
332999S,489 168
332999S,489 169
332999S,489 171
332999S,489 186
332999S,489 189
332999S,489 190
332999S,489 192
332999S,489 193
332999S,489 194
333314NV,426 4C
334220,426 4S
334519,426 4E
334519,426 4K
334519,426 4R
336320,426 3A
336320,426 3B
336413,426 5A
336413,567 4
336992,426 5B
337215,426 4G
339920,426 4J
812910,426 2A
334118,50 156
541330L,246 60 1
541330SEC,246 60 5
541990L,426 7
561612,246 54
611430ST,426 4F
611430ST,426 6
334290,246 1000
334290,246 20 1
334290,246 20 2
334290,246 20 3
334290,246 20 4
334290,246 23
334290,246 25
334290,246 36
334290,246 40
334290,246 43
334290L,246 35 1
334290PACS,246 35 7
325412,426 4N
339999E,426 4L
81111,400 01
811122,400 02
326211,096 1N
326211,096 2N
326211,096 3N
326211,096 4N
326212,096 2N
326212,096 3N
326212,096 4N
333318T,253 2
3361,190 03
3361,190 04
3361,190 01
3361E,272 105
3361V,125 102
3361V,190 05
3361V,190 06
3361V,618 02
33611,023 LSV
336211,967 01
336211,968 01
336211V,125 104
336212,023 101
3363,190 07
3363P,025 101
3363P,271 108
336350,272 106
336611,812 002
336611,260 09
336611,260 13
336611,260 99
336612,260 01
336612,260 03
336612,260 06
336612,260 1000
336612,260 11
336612,260 12
336612R,251 22
336991,251 1
336991,251 6
336991,426 3D
488190,602 4000
532112,751 1
532112,751 2
532112,751 3
532120,190 02
532120,271 112
492110,451 1
492110,451 2
492110,451 99
492210SB,451 3
332439,617 11
334419,617 13
561910,617 10
481211B,599 5
481211O,599 4
485,411 1
532111,411 2
531,653 1
531,653 4
531,653 5
531,653 7
541511T,653 3
531110,653 9
561599L,599 3
561510,599 2
561599,599 1
